{'maria': 'joao', 'hamburguer': 'hamburguer', 'terça-feira': 'terça-feira'}
{'maria': 'maria', 'hamburguer': 'pizza', 'terça-feira': 'terça-feira'}
{'maria': 'maria', 'hamburguer': 'coxinha', 'terça-feira': 'segunda-feira'}
{'maria': 'arnaldo', 'hamburguer': 'misto-quente', 'terça-feira': 'terça-feira'}
{'maria': 'jose', 'hamburguer': 'hamburguer', 'terça-feira': 'sabado'}
{'maria': 'maria', 'hamburguer': 'hamburguer', 'terça-feira': 'terça-feira'}
{'maria': 'maria', 'hamburguer': 'hamburguer', 'terça-feira': 'terça-feira'}
{'maria': 'joao', 'hamburguer': 'hamburguer', 'terça-feira': 'terça-feira'}
{'maria': 'maria', 'hamburguer': 'pizza', 'terça-feira': 'terça-feira'}
{'maria': 'maria', 'hamburguer': 'coxinha', 'terça-feira': 'segunda-feira'}
{'maria': 'arnaldo', 'hamburguer': 'misto-quente', 'terça-feira': 'terça-feira'}
{'maria': 'jose', 'hamburguer': 'hamburguer', 'terça-feira': 'sabado'}
{'maria': 'maria', 'hamburguer': 'hamburguer', 'terça-feira': 'terça-feira'}
{'maria': 'maria', 'hamburguer': 'hamburguer', 'terça-feira': 'terça-feira'}
{'maria': 'joao', 'hamburguer': 'hamburguer', 'terça-feira': 'terça-feira'}
{'maria': 'maria', 'hamburguer': 'pizza', 'terça-feira': 'terça-feira'}
{'maria': 'maria', 'hamburguer': 'coxinha', 'terça-feira': 'segunda-feira'}
{'maria': 'arnaldo', 'hamburguer': 'misto-quente', 'terça-feira': 'terça-feira'}
{'maria': 'jose', 'hamburguer': 'hamburguer', 'terça-feira': 'sabado'}
{'maria': 'maria', 'hamburguer': 'hamburguer', 'terça-feira': 'terça-feira'}
{'maria': 'maria', 'hamburguer': 'hamburguer', 'terça-feira': 'terça-feira'}
{'maria': 'joao', 'hamburguer': 'hamburguer', 'terça-feira': 'terça-feira'}
{'maria': 'maria', 'hamburguer': 'pizza', 'terça-feira': 'terça-feira'}
{'maria': 'maria', 'hamburguer': 'coxinha', 'terça-feira': 'segunda-feira'}
{'maria': 'arnaldo', 'hamburguer': 'hamburguer', 'terça-feira': 'terça-feira'}
{'maria': 'jose', 'hamburguer': 'hamburguer', 'terça-feira': 'sabado'}
{'maria': 'maria', 'hamburguer': 'hamburguer', 'terça-feira': 'terça-feira'}
{'maria': 'maria', 'hamburguer': 'hamburguer', 'terça-feira': 'terça-feira'}
{'maria': 'joao', 'hamburguer': 'hamburguer', 'terça-feira': 'terça-feira'}
{'maria': 'maria', 'hamburguer': 'pizza', 'terça-feira': 'terça-feira'}
{'maria': 'maria', 'hamburguer': 'coxinha', 'terça-feira': 'segunda-feira'}
{'maria': 'arnaldo', 'hamburguer': 'misto-quente', 'terça-feira': 'terça-feira'}
{'maria': 'jose', 'hamburguer': 'hamburguer', 'terça-feira': 'sabado'}
{'maria': 'maria', 'hamburguer': 'hamburguer', 'terça-feira': 'terça-feira'}
{'maria': 'maria', 'hamburguer': 'hamburguer', 'terça-feira': 'terça-feira'}
{'maria': 'joao', 'hamburguer': 'hamburguer', 'terça-feira': 'terça-feira'}
{'maria': 'maria', 'hamburguer': 'pizza', 'terça-feira': 'terça-feira'}
{'maria': 'maria', 'hamburguer': 'coxinha', 'terça-feira': 'segunda-feira'}
{'maria': 'arnaldo', 'hamburguer': 'misto-quente', 'terça-feira': 'terça-feira'}
{'maria': 'jose', 'hamburguer': 'hamburguer', 'terça-feira': 'sabado'}
{'maria': 'maria', 'hamburguer': 'hamburguer', 'terça-feira': 'terça-feira'}
{'maria': 'maria', 'hamburguer': 'hamburguer', 'terça-feira': 'terça-feira'}
{'maria': 'joao', 'hamburguer': 'hamburguer', 'terça-feira': 'terça-feira'}
{'maria': 'maria', 'hamburguer': 'pizza', 'terça-feira': 'terça-feira'}
{'maria': 'maria', 'hamburguer': 'coxinha', 'terça-feira': 'segunda-feira'}
{'maria': 'arnaldo', 'hamburguer': 'misto-quente', 'terça-feira': 'terça-feira'}
{'maria': 'jose', 'hamburguer': 'hamburguer', 'terça-feira': 'sabado'}
{'maria': 'maria', 'hamburguer': 'hamburguer', 'terça-feira': 'terça-feira'}
{'maria': 'maria', 'hamburguer': 'hamburguer', 'terça-feira': 'terça-feira'}
{'maria': 'joao', 'hamburguer': 'hamburguer', 'terça-feira': 'terça-feira'}
{'maria': 'maria', 'hamburguer': 'pizza', 'terça-feira': 'terça-feira'}
{'maria': 'maria', 'hamburguer': 'coxinha', 'terça-feira': 'segunda-feira'}
{'maria': 'arnaldo', 'hamburguer': 'misto-quente', 'terça-feira': 'terça-feira'}
{'maria': 'jose', 'hamburguer': 'hamburguer', 'terça-feira': 'sabado'}
{'maria': 'maria', 'hamburguer': 'hamburguer', 'terça-feira': 'terça-feira'}
